"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
12115,1617377302143x159034303560286200,"Dominique Wilkins",PSA,52171120,1987,Fleer,7,Base,"PSA 8",basketball,21.50
12116,1587245456890x709596395824742400,"Scottie Pippen",PSA,52171143,1988,Fleer,20,Base,"PSA 8",basketball,59.00
12044,1649638998136x834745030351635700,"Magic Johnson",PSA,52171155,1988,Fleer,67,Base,"PSA 8",basketball,16.50
12045,1650992767497x109386255101552750,"Larry Bird",PSA,52171188,1988,"Fleer Sticker",2,Base,"PSA 7",basketball,13.83
12039,1650992771369x552999699036139460,"Clyde Drexler",PSA,52171189,1988,"Fleer Sticker",3,Base,"PSA 8",basketball,39.12
12040,1630293376897x623706502025445400,"Magic Johnson",PSA,52171196,1988,"Fleer Sticker",6,Base,"PSA 8",basketball,50.99
11968,,"Shaq O'Neal",PSA,52286716,1992,Topps,,362,"PSA 9",basketball,
11969,,"Shaq O'Neal",PSA,52286718,1992,Topps,,362,"PSA 9",basketball,
11241,,Salamence,PSA,53577609,2005,"Pokemon EX",14,"Rev. Foil","PSA 9",Pokemon,
12119,1638332852449x554930846910907800,"Jack Ham",PSA,53961406,1982,Topps,210,Base,"PSA 9",football,24.99
12120,1638332809118x738008673543028700,"Kellen Winslow",PSA,53961409,1982,Topps,241,Base,"PSA 9",football,20.00
11917,,"Payton Brothers",PSA,53961411,1982,Topps,,269,"PSA 8",football,
11916,1638332844153x720036316878303000,"Terry Bradshaw",PSA,54088304,1982,Topps,204,Base,"PSA 7",football,15.50
11914,1638332844153x720036316878303000,"Terry Bradshaw",PSA,54088305,1982,Topps,204,Base,"PSA 7",football,15.50
11915,1638332844153x720036316878303000,"Terry Bradshaw",PSA,54088306,1982,Topps,204,Base,"PSA 7",football,15.50
11918,1638332811347x775832207303884500,"Walter Payton",PSA,54088326,1982,Topps,303,Base,"PSA 8",football,23.50
11919,1638332825359x635671938588353400,"Walter Payton",PSA,54088329,1982,Topps,302,Base,"PSA 8",football,31.00
11913,1602956518817x941671988739811500,"Ozzie Newsome",PSA,54088428,1979,Topps,308,Base,"PSA 7",football,35.00
11912,1603132275193x377097174278864900,"Larry Bird",PSA,55010420,1981,Topps,101,East,"PSA 7",basketball,25.51
11961,1646880921862x676515322183504100,"David Cone",PSA,55110195,1987,Donruss,502,Base,"PSA 10",baseball,29.99
11962,1646880921862x676515322183504100,"David Cone",PSA,55110199,1987,Donruss,502,Base,"PSA 10",baseball,29.99
11963,1646880921862x676515322183504100,"David Cone",PSA,55110200,1987,Donruss,502,Base,"PSA 10",baseball,29.99
11964,1646880921862x676515322183504100,"David Cone",PSA,55110202,1987,Donruss,502,Base,"PSA 10",baseball,29.99
11965,1649645040474x705378564685315200,"Larry Bird",PSA,55426555,1989,Fleer,8,Base,"PSA 9",basketball,33.00
11966,1649645040474x705378564685315200,"Larry Bird",PSA,55426556,1989,Fleer,8,Base,"PSA 9",basketball,33.00
11967,1649645040474x705378564685315200,"Larry Bird",PSA,55426557,1989,Fleer,8,Base,"PSA 9",basketball,33.00
10309,1645057343790x932591025934630100,"Davante Adams",PSA,56552819,2020,Prizm,205,"Red Ice","PSA 9",Football,
10403,1603680081756x315522452191182850,"Justin Herbert",PSA,56747140,2020,"Panini Mosaic",204,Base,"PSA 9",Football,44.99
10153,1645060085890x859805299825646800,"Jayson Tatum",PSA,56963427,2017,Donruss,3,Orange,"PSA 8","Basketball ",
12175,,"N. Alexander-Walker",PSA,60778125,2019,Prizm,263,base,"PSA 9",Basketball,
12176,,"DeAndre Hunter",PSA,60778128,2019,Hoops,202,base,"PSA 9",Basketball,
12180,1612156716129x506708443102695200,"Chase Claypool",PSA,60778163,2020,Prizm,392,Base,"PSA 9",Football,14.50
11260,1626882916973x113113377412218880,"Tiger Woods","PSA ",63695116,2001,"Upper Deck",1,Base,"PSA 9",Golf,71.44
11253,1610943657265x831684054337978400,"Joe Burrow","PSA ",63695117,2020,Prizm,307,Base,"PSA 9",Football,81.00
11256,1616677647153x464984697020088300,"Joe Burrow","PSA ",63695120,2020,Prizm,307,"Lazer Prizm","PSA 9",Football,248.50
11257,1616677647153x464984697020088300,"Joe Burrow","PSA ",63695121,2020,Prizm,307,"Lazer Prizm","PSA 9",Football,248.50
11259,1626882916973x113113377412218880,"Tiger Woods","PSA ",63695123,2001,"Upper Deck",1,Base,"PSA 9",Golf,71.44
12929,1620263722294x550566637779025900,"Pavel Bure",BGS,0000185247,1990,"Upper Deck",526,Base,"BGS 8",Hockey,16.61
13302,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002373783,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
13298,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002373784,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
13299,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002373902,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
13301,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002373921,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
13300,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002374030,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
13303,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002374154,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
13304,1649817947877x240048523357192200,"Ichiro Suzuki",BGS,0002374167,2001,"Upper Deck Victory",564,Base,"BGS 9.5",Baseball,61.00
10810,1623549572410x310354354000363500,"LeBron James",BGS,0002574047,2003,"SI for Kids",264,Base,"BGS 9","Basketball ",114.99
12986,,"Matt Moore",BGS,0007281449,2012,"Topps Museum Collection",MM,"Auto /399","BGS 9",Baseball,
12974,,"Jake Odorizzi",BGS,0007863424,2013,"Bowman Chrome",JO,"Refractor Auto","BGS 9.5",Baseball,
11778,,"Russell Wilson",BGS,0009104001,2012,"Panini Prizm","Auto /250",230,"BGS 9.5/Auto 10",football,
"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
11777,,"Russell Wilson",BGS,0009706727,2012,"Panini Prizm","Auto /250",230,"BGS 9.5/Auto 10",football,
11775,1650492516151x489487709342600900,"Karl-Anthony Towns",BGS,0010002484,2015,"Panini Prizm",328,"Flash Prizms","BGS 9.5",basketball,106.50
11150,1590600485855x447257020897427460,"Ben Simmons",BGS,0010263392,2016,Prizm,1,Base,"BGS 9.5","Basketball ",46.23
10812,,"Frank Nitilikina",BGS,0010448170,2017,"Panini Encased",138,Green,"BGS 9.5","Basketball ",
10859,,"Derek Jeter",BGS,0010701126,1993,SP,279,,"BGS 8.5","Baseball ",
10807,,"Gleyber Torres",BGS,0010723136,2018,"Bowman Chrome",BTP4,"Auto Refractor","BGS 9.5/10 Auto","Baseball ",
10580,,"Wander Franco",BGS,0011382851,2019,Bowman,BCP100,"Chrome Prospects","BGS 9",Baseball,
10582,,"Wander Franco",BGS,0011382860,2019,Bowman,BCP100,"Chrome Prospects","BGS 9",Baseball,
10586,,"Wander Franco",BGS,0011382861,2019,Bowman,BCP100,"Chrome Prospects","BGS 9",Baseball,
10579,,"Wander Franco",BGS,0011382876,2019,Bowman,BCP100,"Chrome Prospects","BGS 9",Baseball,
10581,,"Wander Franco",BGS,0011382877,2019,Bowman,BCP100,"Chrome Prospects","BGS 9",Baseball,
10662,1644903936995x538035108032625540,"Christian McCaffrey",BGS,0011807347,2017,Select,155,Base,"BGS 9.5",Football,
13345,1612478184458x136163827552257420,"Sebastian Aho",BGS,0011862641,2016,"Upper Deck",210,Base,"BGS 9",,45.00
10029,1587342958541x287467121976016900,"Damian Lillard",BGS,0012063234,2012,Prizm,245,Base,"BGS 9.5","Basketball ",297.46
10763,,"Zion Williamson",BGS,0012064587,2019,"Panini Prizm DP",1,"Green/Yellow Prizm","BGS 9.5","Basketball ",
10711,1585892029604x723586526067556400,"Zion Williamson",BGS,0012336308,2019,"Panini Prizm",248,Base,"BGS 9","Basketball ",59.99
10493,1645057345656x456732632590714800,"Ja Morant",BGS,0012378276,2019,Optic,168,"Blue Velocity","BGS 9.5","Basketball ",275.00
12887,1611009275619x172818853357420540,"Barry Bonds",PSA,01092427,1987,Donruss,361,Base,"PSA 9",Baseball,16.50
12595,1611009275619x172818853357420540,"Barry Bonds",PSA,01092428,1987,Donruss,361,Base,"PSA 9",Baseball,16.50
13483,1587943748278x628353485856571400,"Dan Marino",PSA,01093302,1984,Topps,123,Base,"PSA 8",,70.00
12098,,"Michael Jordan",PSA,01366207,1988,"Fournier Estrellas","Rules Card",,"PSA 10",basketball,
12674,1649636091392x137217086304813060,"Michael Jordan",PSA,01367920,1994,"Fleer Procards",633,Base,"PSA 9",Baseball,35.00
12455,,"Robin Yount",PSA,02046697,1976,SSPC,316,Base,"PSA 9",Baseball,
12057,1587245456890x709596395824742400,"Scottie Pippen",PSA,02174111,1988,Fleer,20,Base,"PSA 9",basketball,151.65
13482,1587943748278x628353485856571400,"Dan Marino",PSA,02225085,1984,Topps,123,Base,"PSA 8",,70.00
12458,,"Robin Yount",PSA,02237317,1976,SSPC,316,Base,"PSA 9",Baseball,
11710,,"Pedro Martinez",PSA,02252927,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11226,,"Charizard Holo",PSA,02266967,1998,"Pokemon masters - Japanese",6,"CD Promo","PSA 9",Pokemon,
11155,,"Snorlax Holoo",PSA,02267772,1998,"Pokemon Masters - Japanese",143,"CD Promo","PSA 9",Pokemon,
11178,,"Porygon Holo",PSA,02270898,1998,"Pokemon masters - Japanese",137,"CD promo","PSA 9",Pokemon,
11978,1649639079004x726132887710206500,"John Stockton",PSA,02302843,1988,Fleer,127,Base,"PSA 8",basketball,17.00
11977,1649639079004x726132887710206500,"John Stockton",PSA,02310949,1988,Fleer,127,Base,"PSA 8",basketball,17.00
12931,1620263722294x550566637779025900,"Pavel Bure",PSA,02429182,1990,"Upper Deck",526,Base,"PSA 8",Hockey,13.19
12681,1649636091392x137217086304813060,"Michael Jordan",PSA,03175900,1994,"Fleer Procards",633,Base,"PSA 9",Baseball,35.00
12395,1587765822525x926354810331463700,"Dennis Rodman",PSA,03190373,1988,Fleer,43,Base,"PSA 8",Basketball,38.02
12394,1587765822525x926354810331463700,"Dennis Rodman",PSA,03190375,1988,Fleer,43,Base,"PSA 8",Basketball,38.02
12911,1587397870119x446821943220633600,"John Stockton",PSA,03286171,1988,Fleer,115,Base,"PSA 8",Basketball,29.25
13479,1587943748278x628353485856571400,"Dan Marino",PSA,03383308,1984,Topps,123,Base,"PSA 8",,70.00
11151,,"Blastoise Holo",PSA,03392642,1998,"Pokemon Masters - Japanese",9,"CD Promo","PSA 10",Pokemon,
11201,,"Venusaur Holo",PSA,03393007,1998,"Pokemon Masters - Japanese",3,"CD Promo","PSA 10",Pokemon,
11177,,"Venusaur Holo",PSA,03394500,1998,"Pokemon Masters - Japanese",3,"CD Promo","PSA 10",Pokemon,
11189,,"Blastoise Holo",PSA,03394653,1998,"Pokemon Masters - Japanese",9,"CD Promo","PSA 10",Pokemon,
11220,,"Porygon Holo",PSA,03394950,1998,"Pokemon masters - Japanese",137,"CD Promo","PSA 10",Pokemon,
12412,1601244696301x116254532206636180,"Pedro Martinez",PSA,03480586,1991,"Upper Deck Final Edition",2F,Base,"PSA 8 (PD)",baseball,
11708,,"Pedro Martinez",PSA,03480588,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11701,,"Pedro Martinez",PSA,03480591,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11714,,"Pedro Martinez",PSA,03480607,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11713,,"Pedro Martinez",PSA,03480610,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11715,,"Pedro Martinez",PSA,03480613,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11699,,"Pedro Martinez",PSA,03480615,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11696,,"Pedro Martinez",PSA,03480622,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11703,,"Pedro Martinez",PSA,03480630,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11709,,"Pedro Martinez",PSA,03480639,1991,"UD Final Edition",,2F,"PSA 8",baseball,
10804,1645060088900x655012569621267200,"Lonzo Ball",SGC,0374815,2017,"Donruss Optic",199,Base,"SGC 8.5","Basketball ",8.50
10801,,"Josh Jackson",SGC,0378320,2017,"Donruss Optic",197,"Shock Prizm","SGC 8.5","Basketball ",
11227,,"Charizard - Holo",PSA,04207243,1998,"Pokemon Masters - Japanese",6,"CD Promo","PSA 10",Pokemon,
11973,1649639079004x726132887710206500,"John Stockton",PSA,04347214,1988,Fleer,127,Base,"PSA 9 oc",basketball,
13177,1600996489389x363654333337174000,"Shaquille O'Neal",PSA,04718595,1992,"Upper Deck",1b,"Trade Card","PSA 9",Basketball,45.00
12052,1603977312576x856742494007459800,"Michael Jordan",PSA,05148816,1987,"Fleer Sticker",2,Base,"PSA 8",basketball,265.00
12402,1636772084454x904053934692499500,"Charles Barkley",PSA,05356759,1987,Fleer,6,Base,"PSA 8",Basketball,22.50
12460,1649215577979x634873067982028800,"Rookie Shortstops",PSA,05359217,1978,Topps,707,Base,"PSA 7",Baseball,70.00
11707,,"Pedro Martinez",PSA,05404793,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11712,,"Pedro Martinez",PSA,05404796,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11705,,"Pedro Martinez",PSA,05404798,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11702,,"Pedro Martinez",PSA,05404805,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11697,,"Pedro Martinez",PSA,05404806,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11700,,"Pedro Martinez",PSA,05404809,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11719,,"Pedro Martinez",PSA,05404812,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11711,,"Pedro Martinez",PSA,05404813,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11718,,"Pedro Martinez",PSA,05404817,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11698,,"Pedro Martinez",PSA,05404820,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11716,,"Pedro Martinez",PSA,05404826,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11706,,"Pedro Martinez",PSA,05404832,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11717,,"Pedro Martinez",PSA,05404840,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11704,,"Pedro Martinez",PSA,05404845,1991,"UD Final Edition",,2F,"PSA 8",baseball,
11015,1640828848423x502809754825654300,"Justin Herbert",SGC,0563541,2020,Select,244,Base,"SGC 10",Football,51.00
11006,1640828848423x502809754825654300,"Justin Herbert",SGC,0568021,2020,Select,244,Base,"SGC 9",Football,30.75
13477,1588653673934x285163952874717200,"John Elway",PSA,06043944,1984,Topps,63,Base,"PSA 8",,121.25
12912,1587397870119x446821943220633600,"John Stockton",PSA,06068604,1988,Fleer,115,Base,"PSA 8",Basketball,29.25
13475,1588653673934x285163952874717200,"John Elway",PSA,06118706,1984,Topps,63,Base,"PSA 8",,121.25
"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
12585,1600975349277x762720730371063800,"Frank Thomas",PSA,06242045,1990,Topps,414,Base,"PSA 9",Baseball,16.50
10521,1616765855899x190275942237077500,"Patrick Mahomes ",SGC,0644236,2017,"Sage Hit Premier Draft",5,Base,"SGC 9",Football,69.99
12667,1603976098172x388781034377114700,"Charles Barkley",SGC,0778060,1987,Fleer,9,Base,"SGC 7",Basketball,22.50
12594,1611009275619x172818853357420540,"Barry Bonds",PSA,08230229,1987,Donruss,361,Base,"PSA 9",Baseball,16.50
12474,1590119969007x759826042470006800,"Yordan Alvarez",SGC,0853134,2020,"Topps ",276,"Base - Orange Jersey","SGC 10",Baseball,6.49
12560,1643296761519x487201214665326600,"Emmitt Smith",PSA,09081082,1990,"Topps Traded",27T,Base,"PSA 9",Football,76.00
10318,,"tom Brady ",CSG,1000904022,2020,Mosaic,GG2,"Got Game Green Mosaic","CSG 9.5",Football,
10725,1644971189016x757082868049751700,"Jayson Tatum",CSG,1002019128,2019,"Panini Mosaic",79,Red,"CSG 9","Basketball ",10.50
10055,1644903936232x659355322176684500,"Collin Sexton",CSG,1002567110,2018,Donruss,180,Base,"CSG 9","Basketball ",19.16
10319,,"tom Brady ",CSG,1002636001,2020,Mosaic,GG2,"Got Game Mosaic","CSG 9.5",Football,
10123,1644903941881x412216072156255360,"Tyler Herro",CSG,1002974332,2019,Mosaic,223,Green,"CSG 8.5","Basketball ",
10120,,"Tyler Herro",CSG,1002974338,2019,"NBA stickers",91,Blue,"CSG 7.5","Basketball ",
11223,,"Porky pig",CSG,1003031026,1993,Nike/warner,,"Thats all folks","CSG 9","Basketball ",
11224,,"Porky pig",CSG,1003031086,1993,Nike/warner,,"Just do it q","CSG 9","Basketball ",
11222,,"Bugs bunny ",CSG,1003031087,1993,Nike/warner,,"Whats up Jock","CSG 8","Basketball ",
10147,1651010998199x389304870670456500,"Ja Morant",CSG,1003099014,2019,"Hoops Premium Stock",297,Base,"CSG 9","Basketball ",12.01
10128,1651116779996x623579853443549400,"Tyler Herro",CSG,1003099153,2019,"Hoops Premium Stock",8,Base,"CSG 8.5","Basketball ",
13508,1638332813349x201709733074930700,"Kellen Winslow",CSG,1006530009,1982,Topps,242,Base,"CSG 8.5",,
13493,1621702690466x770625738257203200,"Lawrence Taylor",CSG,1006530026,1989,"Pro Set",292,Base,"CSG 8.5",,
13507,1633927890031x514737681903280960,"Andre Reed",CSG,1006530062,1988,Topps,224,Base,"CSG 8.5",,
13489,1633967318416x525513233896906200,"Herschel Walker",CSG,1007337062,1989,"Pro Set",96,Base,"CSG 8.5",,
13502,1638332820374x159558657836305080,"Ray Guy",CSG,1008029013,1982,Topps,188,Base,"CSG 8.5",,
13518,1651290997526x168568737688643330,"Howie Long",CSG,1008029027,1990,Topps,284,Base,"CSG 8.5",,
13499,1638332847507x208692381326228930,"Art Shell",CSG,1008029040,1982,Topps,198,Base,"CSG 8.5",,
10538,,"Randy Moss",CSG,1010990001,2005,"Bowman's Best",27,790/799,"CSG 8.5",Football,
10320,1644770357316x248447358519449760,"tom Brady ",CSG,1010990004,2020,Mosaic,TM2,Green,"CSG 8.5",Football,
10401,1644770360138x975524695978961200,"Justin Herbert  ",CSG,1010990007,2020,Score,362,Base,"CSG 9",Football,8.66
10304,1644770379153x319278229056737700,"Cam Akers",CSG,1010990018,2020,Optic,175,Pink,"CSG 9.5",Football,
10335,1644770364235x629449514324022900,"AJ Dillon",CSG,1010990019,2020,Optic,174,Holo,"CSG 9",Football,
10317,1644770376172x490913588699861700,"tom Brady ",CSG,101099005,2020,Playoff,BTN-4,Pink,"CSG 9 ",Football,
10535,,"Trevor Lawrence",CSG,1011773003,2021,Score,TB-1,"91 Throwback","CSG 9",Football,
10452,1619918492269x483354829970205060,"Jasson Dominguez",CSG,1011773004,2020,"Bowman Prospects",BP-8,Base,"CSG 9.5",Baseball,16.35
10629,,"Shohei Ohtani",CSG,1011773010,2018,"Topps Complete Set",700,"Image Variation","CSG 9",Baseball,
10190,,"Luis Robert",CSG,1011773011,2020,"Topps Heritage",512,"High Number","CSG 7.5",Baseball,
10774,1644903930995x502736708172699460,"Joe Burrow",CSG,1011773012,2020,"Panini Playoff",201,"2nd down","CSG 8.5",Football,
10422,1644903931925x798061176260839200,"Jalen Hurts",CSG,1011773015,2020,Playoff,214,"Goal Line","CSG 9.5",Football,
10536,,"Jaylen Waddle",CSG,1011773016,2021,"Chronicles DP",207,"Donruss Optic","CSG 9.5",Football,
10418,1644971200017x780005536932223400,"Justin Jefferson",CSG,1011773018,2020,"Chronicles Prizm Black",PB-9,Base,"CSG 9",Football,9.50
10528,,"Trey Lance",CSG,1011773021,2021,"Chronicles DP",234,Flux,"CSG 9.5",Football,
10816,,"Mac Jones",CSG,1011773022,2021,"Chronicles DP",140,Pink,"CSG 9",Football,
